id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.246,geom,301,301,301 - Avenida da Liberdade / Restauradores,A,12,21,0.57,active,2025-02-14T18:10:55Z,"[-9.14242, 38.71702, -9.14242, 38.71702]",-9.14242,38.71702
emel_gira_stations.197,geom,408,408,408 - Praça Duque de Saldanha,A,1,10,0.1,active,2025-02-14T18:10:39Z,"[-9.144117, 38.733749, -9.144117, 38.733749]",-9.144117,38.733749
emel_gira_stations.253,geom,206,206,206 - Av. Brasília / Doca de Alcântara,A,1,22,0.05,active,2025-02-14T18:10:57Z,"[-9.17502, 38.70141, -9.17502, 38.70141]",-9.17502,38.70141
emel_gira_stations.198,geom,406,406,406 - Praça Duque de Saldanha,A,0,17,0.0,active,2025-02-14T18:10:40Z,"[-9.145341, 38.734247, -9.145341, 38.734247]",-9.145341,38.734247
emel_gira_stations.255,geom,213,213,213 - Av. Infante Dom Henrique / Santa Apolónia,A,18,32,0.56,active,2025-02-14T18:10:57Z,"[-9.122548, 38.713416, -9.122548, 38.713416]",-9.122548,38.713416
emel_gira_stations.199,geom,428,428,428 - Av. República / Avenida Barbosa Du Bocage,A,1,12,0.08,active,2025-02-14T18:10:41Z,"[-9.14684, 38.74047, -9.14684, 38.74047]",-9.14684,38.74047
emel_gira_stations.256,geom,475,475,475 - Av. Professor Gama Pinto / Cantina Velha,B,4,41,0.1,active,2025-02-14T18:10:58Z,"[-9.15907, 38.75115, -9.15907, 38.75115]",-9.15907,38.75115
emel_gira_stations.200,geom,427,427,427 - Av. República / Av. Visconde Valmor,A,2,12,0.17,active,2025-02-14T18:10:42Z,"[-9.14617, 38.73812, -9.14617, 38.73812]",-9.14617,38.73812
emel_gira_stations.258,geom,461,461,461 - Rua Professora Teresa Ambrósio,B,6,32,0.19,active,2025-02-14T18:10:59Z,"[-9.155564, 38.749141, -9.155564, 38.749141]",-9.155564,38.749141
emel_gira_stations.201,geom,446,446,446 - Av. República / Interface Entrecampos ,A,6,40,0.15,active,2025-02-14T18:10:43Z,"[-9.14773, 38.74456, -9.14773, 38.74456]",-9.14773,38.74456
emel_gira_stations.260,geom,476,476,476 - Av. Professor Gama Pinto / Reitoria,B,3,23,0.13,active,2025-02-14T18:10:59Z,"[-9.15885, 38.75231, -9.15885, 38.75231]",-9.15885,38.75231
emel_gira_stations.202,geom,403,403,403 - Av. Fontes Pereira de Melo,B,6,20,0.3,active,2025-02-14T18:10:43Z,"[-9.146522, 38.731698, -9.146522, 38.731698]",-9.146522,38.731698
emel_gira_stations.264,geom,478,478,478 - Alameda da Universidade / Faculdade de Letras,B,0,32,0.0,active,2025-02-14T18:11:00Z,"[-9.15717, 38.75359, -9.15717, 38.75359]",-9.15717,38.75359
emel_gira_stations.203,geom,416,416,416 - Av. República / Avenida Duque de Ávila,A,5,16,0.31,active,2025-02-14T18:10:43Z,"[-9.14553, 38.735304, -9.14553, 38.735304]",-9.14553,38.735304
emel_gira_stations.265,geom,477,477,477 - Alameda da Universidade / Faculdade de Direito,B,2,24,0.08,active,2025-02-14T18:11:00Z,"[-9.15671, 38.75264, -9.15671, 38.75264]",-9.15671,38.75264
emel_gira_stations.204,geom,471,471,471 - Rua Lopes de Mendonça / EB São João de Brito,B,6,10,0.6,active,2025-02-14T18:10:43Z,"[-9.137337, 38.756487, -9.137337, 38.756487]",-9.137337,38.756487
emel_gira_stations.5,geom,132,132,132 - Avenida de Berlim / Rua Cidade de Cabinda,A,1,25,0.04,active,2025-02-14T18:11:00Z,"[-9.11255, 38.76829, -9.11255, 38.76829]",-9.11255,38.76829
emel_gira_stations.211,geom,115,115,115 - Passeio dos Heróis do Mar / Rua Capitão Cook,A,16,29,0.55,active,2025-02-14T18:10:44Z,"[-9.09781, 38.793, -9.09781, 38.793]",-9.09781,38.793
emel_gira_stations.8,geom,133,133,133 - Rua Cidade de Benguela / Avenida Cidade de L,A,7,18,0.39,active,2025-02-14T18:11:02Z,"[-9.110724, 38.76503, -9.110724, 38.76503]",-9.110724,38.76503
